CQ1,CQ2,CQ3,CQ4,CQ5,CQ6,CQ7,CQ8,CQ9,CQ10,CQ11,CQ12,CQ13,CQ14,CQ15,CQ16,CQ17,CQ18,CQ19,CQ20,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8,AL9,AL10,AL11,AL12,AL13,AL14,AL15,AL16,AL17,AL18,AL19,AL20,age,sex,status,educ,income,size,affil,tenure,experience
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,63,1,2,4,1,3,2,1,30
5,4,5,5,5,4,5,5,5,5,3,4,4,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,78,1,3,4,1,4,2,2,40
4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,3,5,5,3,5,5,3,5,5,5,5,65,1,2,4,2,2,2,2,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,67,2,2,4,1,3,2,2,20
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,2,2,2,1,2,2,3,18
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,78,1,2,4,1,3,2,1,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,53,1,2,6,1,2,2,1,20
5,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,5,5,4,4,4,4,5,5,5,5,5,5,3,4,5,5,4,5,5,4,5,5,5,5,49,1,2,6,1,2,2,1,25
4,5,5,5,4,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,3,5,5,5,4,5,5,4,5,5,5,5,65,1,2,6,1,2,2,1,10
5,5,4,4,5,5,4,4,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,3,5,5,3,5,5,5,5,74,2,2,6,1,3,2,3,25
